t,ema
276.0035,29.17729
276.5036,28.76905
277.0036,28.75226
277.5036,28.69511
278.0036,28.55743
278.5036,28.06293
279.0036,27.99151
279.5036,28.18987
280.0036,28.75648
280.5036,29.29138
281.0036,29.13889
281.5036,28.84027
282.0036,28.27788
282.5036,27.99253
283.0036,28.57919
283.5037,28.61652
284.0037,28.69156
284.5037,28.54092
285.0037,28.54967
285.5037,28.93195
286.0037,28.63927
286.5037,28.69401
287.0037,28.84507
287.5037,28.65176
288.0037,28.31785
288.5037,27.96058
289.0037,28.40244
289.5037,28.99505
290.0037,29.01881
290.5038,28.75534
291.0038,28.62879
291.5038,28.57857
292.0038,28.61229
292.5038,28.38238
293.0038,28.2309
293.5038,28.43419
294.0038,28.93195
294.5038,29.26178
295.0038,29.07254
295.5038,28.27947
296.0038,28.07193
296.5038,28.34077
297.0038,28.7537
297.5038,28.90193
298.0038,28.47866
298.5038,28.34233
299.0038,28.53254
299.5038,28.70036
300.0039,29.09168
300.5039,29.02584
301.0039,28.79388
301.5039,28.51585
302.0039,28.28965
302.5039,28.38523
303.0039,29.00182
303.5039,28.79137
304.0039,28.15722
304.5039,28.07768
305.0039,28.16971
305.5039,28.30091
306.0039,29.03678
306.5039,29.37958
307.004,29.6697
307.504,29.52549
308.004,28.52015
308.504,28.22743
309.004,28.08897
309.504,27.79954
310.004,27.33822
310.504,28.2373
311.004,29.3134
311.504,29.75448
312.004,29.26538
312.504,28.60019
313.004,28.39207
313.504,28.35375
314.004,28.89508
314.5041,29.29927
315.0041,29.02403
315.5041,28.39009
316.0041,27.97419
316.5041,28.01405
317.0041,27.96958
317.5041,28.40817
318.0041,28.94456
318.5041,29.1805
319.0041,29.26571
319.5041,29.05262
320.0041,28.68202
320.5041,28.52247
321.0041,28.72011
321.5042,28.83418
322.0042,28.75998
322.5042,28.21196
323.0042,27.93175
323.5042,28.28233
324.0042,28.39421
324.5042,28.61088
325.0042,29.0954
325.5042,29.6272
326.0042,29.37068
326.5042,28.59282
327.0042,27.86776
327.5042,28.00423
